sender,receiver,dist
@noisy_nora,@bishopnaomi,1
@NNLMSEA,@ms_elainious,2
@LibTomBaum,@crbishop,1
@LibTomBaum,@visualdx,1
@LibTomBaum,@mucom_indy,1
@wichor,@mbbassdrlib,7
@wichor,@hurstej,5
@pfanderson,@shazam,1
@nadinedUCFCOM,@ucfcomhsl,1
@nadinedUCFCOM,@medlibassn,1
@joelepalmer,@sarahclarke138,1
@joelepalmer,@nlm_dimrc,1
@akaur0,@chelseamisquith,4
@hwest112,@greythornex,1
@ChelseaMisquith,@akaur0,3
@ChelseaMisquith,@visualdx,1
@mbbassdrlib,@wichor,1
@mbbassdrlib,@hurstej,3
@VisualDx,@visualdx,5
@PennDentalLib,@akaur0,1
@PennDentalLib,@visualdx,1
@ChelseaMisquith,@mlrethlefsen,1
@ChelseaMisquith,@ufhscl,1
@VisualDx,@crbishop,1
@VisualDx,@mucom_indy,1
@uflib,@ufhscl,1
@wichor,@oxpeter,1
@akaur0,@oxpeter,1
@crbishop,@visualdx,1
@crbishop,@mucom_indy,1
@evardell,@apa,1
@wichor,@jolenemiller419,2
@wichor,@referencediva,4
@akaur0,@meansell,1
@ChrisTheCat,@wichor,1
@ChrisTheCat,@jolenemiller419,1
@jxsiegel,@libraryatnight,1
@mlrethlefsen,@wichor,9
@EvidenceRobot,@mlrethlefsen,1
@EvidenceRobot,@ufhscl,1
@openpeonie,@wonderbrarian,1
@UFHSCL,@mlrethlefsen,1
@UFHSCL,@ufhscl,1
@cabrideA2,@greythornex,1
@publishgreylit,@chelseamisquith,1
@citylife__pics,@greythornex,1
@mlrethlefsen,@ufhscl,3
@wichor,@mlrethlefsen,50
@wichor,@giustini,19
@TchouMd,@futuredocs,1
@LMLibrarian,@beffuh,1
@alisonkcody,@apapublishing,1
@RittenhouseBKS,@rittenhousebks,1
@jamornini,@sarahclarke138,1
@jamornini,@nlm_dimrc,1
@NoetheMatt,@elainemartin2,1
@NoetheMatt,@hmscountway,3
@NoetheMatt,@library_connect,1
@NoetheMatt,@simmonsslis,1
@NYCPM_Lib,@nnlmsea,1
@referencediva,@wichor,2
@oponiak,@meansell,2
@oponiak,@ufcjclibrarian,1
@oponiak,@lisabouff,1
@oponiak,@librarianlizy,6
@oponiak,@hurstej,5
